Autodrive, Distance measured, Angle measured, Desired Angle, Steering Error, Actuator speed, Forward, Reverse
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.437531,0.225547,0.000000,-0.225547,61.574326,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,-0.010651,-0.005490,0.000000,0.005490,0.000000,0,1
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.396790,0.204545,0.000000,-0.204545,55.840786,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.396790,0.204545,0.000000,-0.204545,55.840786,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.396790,0.204545,0.000000,-0.204545,55.840786,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.437531,0.225547,0.000000,-0.225547,61.574326,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.070862,0.036529,0.000000,-0.036529,0.000000,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.396790,0.204545,0.000000,-0.204545,55.840786,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.356049,0.183543,0.000000,-0.183543,50.107250,1,0
0,0.030090,0.015512,0.000000,-0.015512,0.000000,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.396790,0.204545,0.000000,-0.204545,55.840786,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.437531,0.225547,0.000000,-0.225547,61.574326,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.274567,0.141539,0.000000,-0.141539,38.640179,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.193085,0.099535,0.000000,-0.099535,27.173103,1,0
0,0.233826,0.120537,0.000000,-0.120537,32.906639,1,0
0,0.315308,0.162541,0.000000,-0.162541,44.373714,1,0
0,0.152344,0.078533,0.000000,-0.078533,21.439564,1,0
